,Postal Code,Latitude,Longitude
0,500001,1.3886100383707,103.988093482829
1,500002,1.3891516485857,103.988245247726
2,500003,1.38965834308064,103.988091826679
3,500004,1.38909635615366,103.98746284567
4,500005,1.38885339963623,103.986845986484
5,506755,1.37235243159368,103.964649228137
6,506756,1.37084056941,103.966282034577
7,506760,1.35788081283208,103.966544751146
8,506761,1.35800736226486,103.966834515637
9,506762,1.35770871067774,103.967070680839
10,506763,1.35751477455435,103.966877507491
11,506764,1.35728303560612,103.966647144689
12,506765,1.35739363954661,103.965969145542
13,506776,1.37026310428278,103.975934002529
14,506777,1.36937610185873,103.977673721347
15,506778,1.37100489156202,103.97690083664
16,506779,1.37074147721315,103.97753278663
17,506780,1.36969605919254,103.978565555786
18,506781,1.37011559201724,103.979008907006
19,506782,1.3701652727219,103.978681980139
20,506783,1.37024616134521,103.978479900515
21,506784,1.37032705025543,103.978277345457
22,506785,1.35863780430651,103.969451984305
23,506786,1.36106278251276,103.969953491394
24,506787,1.3613213100846,103.970290077698
25,506788,1.36055113726836,103.970093337273
26,506789,1.36055113726836,103.970093337273
27,506790,1.36069877661346,103.970169461433
28,506791,1.37096076173148,103.976271030485
29,506792,1.37017879567585,103.976753883527
30,506793,1.36937610158501,103.977673721075
31,506794,1.36971450344633,103.976482589968
32,506795,1.36996567089907,103.976176786224
33,506796,1.41029725059845,103.977926802937
34,506797,1.40998936311842,103.977784983772
35,506798,1.40478093507887,103.95622987995
36,506799,1.40421349521121,103.955300592954
37,506800,1.40360326519854,103.95657311838
38,506802,1.40824274028269,103.962469707991
39,506803,1.40725573564056,103.962213289581
40,506804,1.40651851493323,103.966001168353
41,506805,1.40738625838501,103.966957052378
42,506806,1.4168070227243,103.975071219653
43,506807,1.4137861288316,103.968226320995
44,506808,1.40219534046819,103.970613700963
45,506809,1.40239152320584,103.970430488685
46,506810,1.40945070318024,103.974976505574
47,506811,1.40482363760869,103.955689940345
48,506816,1.38112044000251,103.969567502442
49,506817,1.38234405503282,103.968806559399
50,506818,1.38132580190349,103.967854657711
51,506819,1.38082206256829,103.967471232495
52,506820,1.38162733656301,103.97052485385
53,506821,1.3822690471457,103.970033148546
54,506822,1.38263651796322,103.970055304367
55,506823,1.38297571132406,103.969833709159
56,506824,1.38360741899039,103.969362639049
57,506825,1.38356283779947,103.970944552157
58,506826,1.38399153965646,103.970290790913
59,506827,1.38546020431232,103.971594945334
60,506831,1.39173718629585,103.981239603652
61,506832,1.39152134086782,103.981537274696
62,506836,1.39082867796226,103.981264481439
63,506841,1.36573193913491,103.972310269669
64,506842,1.36565127881397,103.972347489013
65,506843,1.36557863192418,103.972381273736
66,506844,1.36556439873692,103.972582357017
67,506845,1.3661902640889,103.974455667772
68,506846,1.35632843123308,103.966578200418
69,506847,1.35635277240173,103.966887535195
70,506848,1.35596357959287,103.967122835832
71,506849,1.35585579645519,103.966802887535
72,506850,1.35576524672383,103.966456424913
73,506851,1.35596896951347,103.966315676876
74,506852,1.35823032280321,103.965573132382
75,506853,1.35800454371526,103.96572538566
76,506854,1.35774011449602,103.965867152634
77,506855,1.35774157432886,103.966213701234
78,506856,1.35495678599971,103.964310640429
79,506857,1.35561640798015,103.965476479463
80,506858,1.35558152293588,103.964119977171
81,506859,1.35566843318852,103.964557004536
82,506860,1.35577257355415,103.964916673398
83,506861,1.3558859934741,103.965304613692
84,506862,1.35711827851738,103.966225456323
85,506863,1.35676619967628,103.966471571606
86,506864,1.35666433039145,103.966122818467
87,506865,1.35626956272315,103.966260755585
88,506866,1.35641927465864,103.963823526501
89,506867,1.3567908665883,103.963697627332
90,506868,1.35531040259148,103.965525604183
91,506869,1.35521216476669,103.965136524671
92,506870,1.35509446420137,103.964728215922
93,506871,1.38837359645167,103.980734040498
94,506872,1.38853876403147,103.981087761443
95,506873,1.3885216593411,103.981656937446
96,506874,1.38871830009295,103.981895354629
97,506875,1.39051520957033,103.98138537306
98,506876,1.38944541189001,103.981413884778
99,506877,1.38829747466588,103.980296404754
100,506878,1.38802168050529,103.980475404613
101,506879,1.38811001797067,103.980875791459
102,506880,1.38831677597754,103.981205046517
103,506881,1.35521095284251,103.966422045067
104,506882,1.35533104364701,103.966790253495
105,506883,1.35538559292833,103.966993499552
106,506884,1.35547310957664,103.967277074951
107,506885,1.35558972832925,103.96763848955
108,506886,1.35496526754839,103.967183057339
109,506887,1.35516120754023,103.967844585142
110,506888,1.354543787165,103.96755166105
111,506889,1.35463879164421,103.967836197125
112,506890,1.35410730559666,103.967749971635
113,506891,1.35505338780872,103.966968614236
114,506892,1.35688865505981,103.964194147192
115,506893,1.35650618613631,103.96457023999
116,506894,1.35623636078488,103.964704026388
117,506895,1.3560430176871,103.963941083855
118,506896,1.38727831158169,103.98658062976
119,506901,1.36349695045401,103.970503025503
120,506902,1.36347050818185,103.970570352341
121,506906,1.35233055164136,103.965328344726
122,506907,1.36584006803958,103.975112216282
123,506908,1.35509141020075,103.972425880278
124,506909,1.36888528582239,103.977091518933
125,506910,1.36911171161037,103.976916088808
126,506911,1.35900307841177,103.96686932054
127,506912,1.35890255910093,103.967325308116
128,506913,1.35884650572828,103.967558363606
129,506914,1.35850037030514,103.967530428228
130,506915,1.35854951986247,103.967297588339
131,506916,1.35865611760953,103.966881832834
132,506917,1.35870526710668,103.966648992911
133,506918,1.35808592586768,103.967320803249
134,506921,1.37965278165186,103.977834602234
135,506926,1.3794370861503,103.960978885551
136,506927,1.3801450728346,103.959287043002
137,506928,1.37989464950184,103.96274397719
138,506929,1.37989464922815,103.962743976646
